        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
        long    coalesced      216        1        1            8     67108864   620693221.187   1073741824  14495514624        0.002        0.023
        long    coalesced      216        1        1           16     67108864   621904786.890   2147483648  28991029248        0.003        0.047
        long    coalesced      216        1        1           32     67108864   622388913.118   4294967296  57982058496        0.007        0.093
        long    coalesced      216        1        1           64     67108864   628448418.332   8589934592 115964116992        0.014        0.185
        long    coalesced      216        1        1          128     33554432   316106628.387   8589934592 115964116992        0.027        0.367
        long    coalesced      216        1        1          256     16777216   160022273.469   8589934592 115964116992        0.054        0.725
        long    coalesced      216        1        1          512      8388608    81829727.965   8589934592 115964116992        0.105        1.417
        long    coalesced      216        1        1         1024      4194304    42084129.574   8589934592 115964116992        0.204        2.756
        long    coalesced      216        1        1         2048      2097152    22094313.729   8589934592 115964116992        0.389        5.249
        long    coalesced      216        1        1         4096      1048576    12150901.644   8589934592 115964116992        0.707        9.544
        long    coalesced      216        1        1         8192       524288     7160457.947   8589934592 115964116992        1.200       16.195
        long    coalesced      216        1        1        16384       262144     4649848.448   8589934592 115964116992        1.847       24.939
        long    coalesced      216        1        1        32768       131072     3369889.745   8589934592 115964116992        2.549       34.412
        long    coalesced      216        1        1        65536        65536     2749411.040   8589934592 115964116992        3.124       42.178
        long    coalesced      216        1        1       131072        32768     2429636.635   8589934592 115964116992        3.535       47.729
        long    coalesced      216        1        1       262144        16384     2276961.924   8589934592 115964116992        3.773       50.929
        long    coalesced      216        1        1       524288         8192     2198075.115   8589934592 115964116992        3.908       52.757
        long    coalesced      216        1        1      1048576         4096     2159003.914   8589934592 115964116992        3.979       53.712
        long    coalesced      216        1        1      2097152         2048     2139457.746   8589934592 115964116992        4.015       54.203
        long    coalesced      216        1        1      4194304         1024     2129567.724   8589934592 115964116992        4.034       54.454
        long    coalesced      216        1        1      8388608          512     2124606.508   8589934592 115964116992        4.043       54.581
        long    coalesced      216        1        1     16777216          256     2122140.387   8589934592 115964116992        4.048       54.645
        long    coalesced      216        1        1     33554432          128     2120930.530   8589934592 115964116992        4.050       54.676
        long    coalesced      216        1        1     67108864           64     2120309.854   8589934592 115964116992        4.051       54.692
        long    coalesced      216        1        1    134217728           32     2120040.543   8589934592 115964116992        4.052       54.699
        long    coalesced      216        1        1    268435456           16     2119831.750   8589934592 115964116992        4.052       54.704
        long    coalesced      216        1        1    536870912            8     2119771.630   8589934592 115964116992        4.052       54.706
        long    coalesced      216        1        1   1073741824            4     2120421.492   8589934592 115964116992        4.051       54.689
        long    coalesced      216        1        1   2147483648            2     2119696.027   8589934592 115964116992        4.052       54.708
        long    coalesced      216        1        1   4293918720            1     2119155.433   8587837440 115935805440        4.052       54.708
