        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
         int    coalesced      128        1        2            8     67108864   315152587.628   1073741824  17179869184        0.003        0.055
         int    coalesced      128        1        2           16     67108864   316135195.203   2147483648  34359738368        0.007        0.109
         int    coalesced      128        1        2           32     67108864   317978327.069   4294967296  68719476736        0.014        0.216
         int    coalesced      128        1        2           64     67108864   322282569.166   8589934592 137438953472        0.027        0.426
         int    coalesced      128        1        2          128     67108864   327318168.699  17179869184 274877906944        0.052        0.840
         int    coalesced      128        1        2          256     33554432   168335343.638  17179869184 274877906944        0.102        1.633
         int    coalesced      128        1        2          512     16777216    87836795.949  17179869184 274877906944        0.196        3.129
         int    coalesced      128        1        2         1024      8388608    46494673.422  17179869184 274877906944        0.370        5.912
         int    coalesced      128        1        2         2048      4194304    25616623.541  17179869184 274877906944        0.671       10.730
         int    coalesced      128        1        2         4096      2097152    15275357.634  17179869184 274877906944        1.125       17.995
         int    coalesced      128        1        2         8192      1048576     9984175.627  17179869184 274877906944        1.721       27.531
         int    coalesced      128        1        2        16384       524288     7365193.651  17179869184 274877906944        2.333       37.321
         int    coalesced      128        1        2        32768       262144     6024378.932  17179869184 274877906944        2.852       45.628
         int    coalesced      128        1        2        65536       131072     5370532.419  17179869184 274877906944        3.199       51.183
         int    coalesced      128        1        2       131072        65536     5029556.565  17179869184 274877906944        3.416       54.653
         int    coalesced      128        1        2       262144        32768     4864881.465  17179869184 274877906944        3.531       56.502
         int    coalesced      128        1        2       524288        16384     4783470.654  17179869184 274877906944        3.592       57.464
         int    coalesced      128        1        2      1048576         8192     4742019.276  17179869184 274877906944        3.623       57.966
         int    coalesced      128        1        2      2097152         4096     4721473.926  17179869184 274877906944        3.639       58.219
         int    coalesced      128        1        2      4194304         2048     4711246.688  17179869184 274877906944        3.647       58.345
         int    coalesced      128        1        2      8388608         1024     4705962.208  17179869184 274877906944        3.651       58.411
         int    coalesced      128        1        2     16777216          512     4703245.526  17179869184 274877906944        3.653       58.444
         int    coalesced      128        1        2     33554432          256     4702004.886  17179869184 274877906944        3.654       58.460
         int    coalesced      128        1        2     67108864          128     4701364.692  17179869184 274877906944        3.654       58.468
         int    coalesced      128        1        2    134217728           64     4701039.155  17179869184 274877906944        3.654       58.472
         int    coalesced      128        1        2    268435456           32     4700870.824  17179869184 274877906944        3.655       58.474
         int    coalesced      128        1        2    536870912           16     4700772.190  17179869184 274877906944        3.655       58.475
         int    coalesced      128        1        2   1073741824            8     4700842.954  17179869184 274877906944        3.655       58.474
         int    coalesced      128        1        2   2147483648            4     4700749.588  17179869184 274877906944        3.655       58.475
         int    coalesced      128        1        2   4294967296            2     4700769.655  17179869184 274877906944        3.655       58.475
         int    coalesced      128        1        2   8588886016            1     4700128.349  17177772032 274844352512        3.655       58.476
