        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
      double    coalesced      157        1        2           16     67108864   585322001.463   2147483648  21072183296        0.004        0.036
      double    coalesced      157        1        2           32     67108864   586038150.827   4294967296  42144366592        0.007        0.072
      double    coalesced      157        1        2           64     67108864   589173042.503   8589934592  84288733184        0.015        0.143
      double    coalesced      157        1        2          128     67108864   590565816.097  17179869184 168577466368        0.029        0.285
      double    coalesced      157        1        2          256     33554432   299262630.129  17179869184 168577466368        0.057        0.563
      double    coalesced      157        1        2          512     16777216   152659501.449  17179869184 168577466368        0.113        1.104
      double    coalesced      157        1        2         1024      8388608    78556915.832  17179869184 168577466368        0.219        2.146
      double    coalesced      157        1        2         2048      4194304    40434090.124  17179869184 168577466368        0.425        4.169
      double    coalesced      157        1        2         4096      2097152    21821870.702  17179869184 168577466368        0.787        7.725
      double    coalesced      157        1        2         8192      1048576    12274888.595  17179869184 168577466368        1.400       13.734
      double    coalesced      157        1        2        16384       524288     7461461.761  17179869184 168577466368        2.302       22.593
      double    coalesced      157        1        2        32768       262144     5114802.224  17179869184 168577466368        3.359       32.959
      double    coalesced      157        1        2        65536       131072     3911376.148  17179869184 168577466368        4.392       43.099
      double    coalesced      157        1        2       131072        65536     3324756.931  17179869184 168577466368        5.167       50.704
      double    coalesced      157        1        2       262144        32768     3023971.744  17179869184 168577466368        5.681       55.747
      double    coalesced      157        1        2       524288        16384     2877338.024  17179869184 168577466368        5.971       58.588
      double    coalesced      157        1        2      1048576         8192     2802652.525  17179869184 168577466368        6.130       60.149
      double    coalesced      157        1        2      2097152         4096     2765504.971  17179869184 168577466368        6.212       60.957
      double    coalesced      157        1        2      4194304         2048     2746995.624  17179869184 168577466368        6.254       61.368
      double    coalesced      157        1        2      8388608         1024     2737782.530  17179869184 168577466368        6.275       61.574
      double    coalesced      157        1        2     16777216          512     2733133.834  17179869184 168577466368        6.286       61.679
      double    coalesced      157        1        2     33554432          256     2730773.131  17179869184 168577466368        6.291       61.733
      double    coalesced      157        1        2     67108864          128     2729720.055  17179869184 168577466368        6.294       61.756
      double    coalesced      157        1        2    134217728           64     2729191.979  17179869184 168577466368        6.295       61.768
      double    coalesced      157        1        2    268435456           32     2728784.633  17179869184 168577466368        6.296       61.777
      double    coalesced      157        1        2    536870912           16     2728720.718  17179869184 168577466368        6.296       61.779
      double    coalesced      157        1        2   1073741824            8     2728700.303  17179869184 168577466368        6.296       61.779
      double    coalesced      157        1        2   2147483648            4     2728483.461  17179869184 168577466368        6.296       61.784
      double    coalesced      157        1        2   4294967296            2     2728596.972  17179869184 168577466368        6.296       61.782
      double    coalesced      157        1        2   8588886016            1     2728262.661  17177772032 168556888064        6.296       61.782
