        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced      186        8        2           64     67108864   130927567.064   8589934592 199715979264        0.066        1.525
       float    coalesced      186        8        2          128     67108864   130927607.011  17179869184 399431958528        0.131        3.051
       float    coalesced      186        8        2          256     33554432    66176942.685  17179869184 399431958528        0.260        6.036
       float    coalesced      186        8        2          512     16777216    34158010.513  17179869184 399431958528        0.503       11.694
       float    coalesced      186        8        2         1024      8388608    17935768.770  17179869184 399431958528        0.958       22.270
       float    coalesced      186        8        2         2048      4194304     9352446.907  17179869184 399431958528        1.837       42.709
       float    coalesced      186        8        2         4096      2097152     5398223.401  17179869184 399431958528        3.183       73.993
       float    coalesced      186        8        2         8192      1048576     2790155.211  17179869184 399431958528        6.157      143.158
       float    coalesced      186        8        2        16384       524288     1731527.781  17179869184 399431958528        9.922      230.682
       float    coalesced      186        8        2        32768       262144     1182583.718  17179869184 399431958528       14.527      337.762
       float    coalesced      186        8        2        65536       131072      896109.545  17179869184 399431958528       19.172      445.740
       float    coalesced      186        8        2       131072        65536      750210.893  17179869184 399431958528       22.900      532.426
       float    coalesced      186        8        2       262144        32768      682439.820  17179869184 399431958528       25.174      585.300
       float    coalesced      186        8        2       524288        16384      653567.642  17179869184 399431958528       26.286      611.156
       float    coalesced      186        8        2      1048576         8192      638634.094  17179869184 399431958528       26.901      625.447
       float    coalesced      186        8        2      2097152         4096      630486.622  17179869184 399431958528       27.249      633.530
       float    coalesced      186        8        2      4194304         2048      626683.935  17179869184 399431958528       27.414      637.374
       float    coalesced      186        8        2      8388608         1024      624761.857  17179869184 399431958528       27.498      639.335
       float    coalesced      186        8        2     16777216          512      623774.894  17179869184 399431958528       27.542      640.346
       float    coalesced      186        8        2     33554432          256      623284.611  17179869184 399431958528       27.563      640.850
       float    coalesced      186        8        2     67108864          128      623044.590  17179869184 399431958528       27.574      641.097
       float    coalesced      186        8        2    134217728           64      622900.129  17179869184 399431958528       27.580      641.246
       float    coalesced      186        8        2    268435456           32      622788.749  17179869184 399431958528       27.585      641.360
       float    coalesced      186        8        2    536870912           16      622819.475  17179869184 399431958528       27.584      641.329
       float    coalesced      186        8        2   1073741824            8      622759.822  17179869184 399431958528       27.587      641.390
       float    coalesced      186        8        2   2147483648            4      622857.126  17179869184 399431958528       27.582      641.290
       float    coalesced      186        8        2   4294967296            2      622802.164  17179869184 399431958528       27.585      641.346
       float    coalesced      186        8        2   8588886016            1     1145851.644  17177772032 399383199744       14.991      348.547
