        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced       32        8        0           32       524288      179134.059     33554432    134217728        0.187        0.749
       float    coalesced       32        8        0           64       262144       89948.838     33554432    134217728        0.373        1.492
       float    coalesced       32        8        0          128       131072       46308.448     33554432    134217728        0.725        2.898
       float    coalesced       32        8        0          256        65536       24418.634     33554432    134217728        1.374        5.497
       float    coalesced       32        8        0          512        32768       13478.572     33554432    134217728        2.489        9.958
       float    coalesced       32        8        0         1024        16384        8058.367     33554432    134217728        4.164       16.656
       float    coalesced       32        8        0         2048         8192        5273.892     33554432    134217728        6.362       25.449
       float    coalesced       32        8        0         4096         4096        3896.063     33554432    134217728        8.612       34.450
       float    coalesced       32        8        0         8192         2048        3209.081     33554432    134217728       10.456       41.824
       float    coalesced       32        8        0        16384         1024        2863.662     33554432    134217728       11.717       46.869
       float    coalesced       32        8        0        32768         1024        5059.647     67108864    268435456       13.264       53.054
       float    coalesced       32        8        0        65536         1024        9451.801    134217728    536870912       14.200       56.801
       float    coalesced       32        8        0       131072         1024       18237.057    268435456   1073741824       14.719       58.877
       float    coalesced       32        8        0       262144         1024       35704.908    536870912   2147483648       15.036       60.145
       float    coalesced       32        8        0       524288         1024       70618.264   1073741824   4294967296       15.205       60.819
       float    coalesced       32        8        0      1048576         1024      140525.291   2147483648   8589934592       15.282       61.127
       float    coalesced       32        8        0      2097152         1024      280343.656   4294967296  17179869184       15.320       61.281
       float    coalesced       32        8        0      4194304         1024      560023.871   8589934592  34359738368       15.339       61.354
       float    coalesced       32        8        0      8388608         1024     1119215.134  17179869184  68719476736       15.350       61.400
       float    coalesced       32        8        0     16777216         1024     2237736.486  34359738368 137438953472       15.355       61.419
