Kernel Type, Buffers, Queue Type, Unroll, ERT FLOPs, Elements per Bank, Data Type, Frequency (MHz), DSP blocks, LUTs
ndrange,1,coalesced,2,1515,0,float,284.73,758,88005
ndrange,1,coalesced,2,1,0,float,289.93,1,64456
ndrange,1,coalesced,4,1,0,float,302.29,1,64401
ndrange,2,coalesced,1,1,0,float,271.14,2,71600
ndrange,2,coalesced,2,757,0,float,283.28,758,93941
ndrange,2,coalesced,4,1,0,float,306.74,2,71050
swi,1,coalesced,1024,1,0,float,162.31,1024,188826
swi,1,coalesced,128,16,0,float,256.6,1152,115054
swi,1,coalesced,128,1,0,double,233.31,0,188433
swi,1,coalesced,128,1,0,float,255.55,128,76618
swi,1,coalesced,128,1,0,int,253.29,128,104210
swi,1,coalesced,128,1,0,long,244.43,128,151001
swi,1,coalesced,128,21,0,float,243.72,1408,122986
swi,1,coalesced,128,2,0,long,224.71,1024,254602
swi,1,coalesced,128,7,0,int,227.32,1280,236848
swi,1,coalesced,12,1,0,float,178.92,12,76180
swi,1,coalesced,16,128,0,float,237.81,1040,97296
swi,1,coalesced,16,15,0,double,240.84,448,277935
swi,1,coalesced,16,16,0,double,244.79,576,312203
swi,1,coalesced,16,16,0,float,245.09,144,71019
swi,1,coalesced,16,16,0,long,259.47,912,175761
swi,1,coalesced,16,186,0,float,236.4,1504,111661
swi,1,coalesced,16,187,0,float,237.07,1504,111674
swi,1,coalesced,16,1,0,float,255.1,16,66208
swi,1,coalesced,16,1,0,int,254.0,16,69940
swi,1,coalesced,16,1,0,long,257.59,16,79906
swi,1,coalesced,16,27,0,long,212.63,1300,264888
swi,1,coalesced,16,2,0,float,235.79,32,66491
swi,1,coalesced,16,32,0,float,242.89,272,75565
swi,1,coalesced,16,4,0,float,246.73,48,67022
swi,1,coalesced,16,63,0,int,256.21,1504,219337
swi,1,coalesced,16,64,0,float,253.42,528,83760
swi,1,coalesced,16,8,0,float,244.08,80,67938
swi,1,coalesced,1,1010,0,int,228.15,1516,217187
swi,1,coalesced,1,1024,0,float,244.2,513,80350
swi,1,coalesced,1,128,0,float,255.23,65,66198
swi,1,coalesced,1,128,0,int,265.6,193,82293
swi,1,coalesced,1,16,0,float,269.03,9,64883
swi,1,coalesced,1,16,0,int,273.37,25,66491
swi,1,coalesced,1,1,0,double,243.66,0,65281
swi,1,coalesced,1,1,0,float,268.31,1,64481
swi,1,coalesced,1,1,0,int,259.53,1,64675
swi,1,coalesced,1,1,0,long,250.37,1,64842
swi,1,coalesced,1,2048,0,float,247.95,1025,96099
swi,1,coalesced,1,216,0,long,258.66,757,139856
swi,1,coalesced,1,220,0,long,262.32,771,141237
swi,1,coalesced,1,236,0,long,268.45,827,147167
swi,1,coalesced,1,256,0,float,245.94,129,68249
swi,1,coalesced,1,256,0,int,264.41,385,100057
swi,1,coalesced,1,256,0,long,272.33,897,153284
swi,1,coalesced,1,2,0,float,269.03,2,64573
swi,1,coalesced,1,2,0,int,258.79,4,65002
swi,1,coalesced,1,3030,0,float,249.62,1516,111112
swi,1,coalesced,1,3031,0,float,252.9,1516,111052
swi,1,coalesced,1,3032,0,float,256.14,1517,111114
swi,1,coalesced,1,3033,0,float,254.45,1517,111109
swi,1,coalesced,1,314,0,double,266.88,632,350840
swi,1,coalesced,1,315,0,double,266.73,628,350069
swi,1,coalesced,1,317,0,double,207.12,632,352024
swi,1,coalesced,1,32,0,float,239.98,17,64990
swi,1,coalesced,1,32,0,int,270.34,49,68645
swi,1,coalesced,1,420,0,long,189.28,1313,256052
swi,1,coalesced,1,425,0,long,212.4,1311,262105
swi,1,coalesced,1,426,0,long,208.02,1310,267108
swi,1,coalesced,1,428,0,long,216.96,1309,287659
swi,1,coalesced,1,4,0,float,253.03,3,64508
swi,1,coalesced,1,4,0,int,259.6,7,65334
swi,1,coalesced,1,505,0,int,261.43,757,138590
swi,1,coalesced,1,512,0,float,245.76,257,72329
swi,1,coalesced,1,512,0,int,255.88,769,139946
swi,1,coalesced,1,64,0,int,252.14,97,73364
swi,1,coalesced,1,8,0,float,253.61,5,64599
swi,1,coalesced,1,8,0,int,257.86,13,65744
swi,1,coalesced,24,1,0,float,173.22,24,88524
swi,1,coalesced,256,1,0,double,162.94,0,295164
swi,1,coalesced,256,1,0,float,263.99,256,92156
swi,1,coalesced,256,1,0,int,233.53,256,147327
swi,1,coalesced,256,2,0,float,250.62,512,97526
swi,1,coalesced,256,3,0,int,114.19,1024,237925
swi,1,coalesced,256,4,0,float,253.35,768,104318
swi,1,coalesced,256,5,0,float,249.75,768,104202
swi,1,coalesced,256,6,0,float,235.57,1024,114166
swi,1,coalesced,2,1024,0,float,244.49,1026,96020
swi,1,coalesced,2,128,0,float,234.46,130,68058
swi,1,coalesced,2,128,0,long,259.8,898,154349
swi,1,coalesced,2,1515,0,float,247.34,1516,111000
swi,1,coalesced,2,159,0,double,248.44,632,353061
swi,1,coalesced,2,160,0,double,264.06,648,357248
swi,1,coalesced,2,161,0,double,248.44,640,356996
swi,1,coalesced,2,162,0,double,253.03,656,360240
swi,1,coalesced,2,16,0,float,248.69,18,65123
swi,1,coalesced,2,1,0,float,252.9,2,64496
swi,1,coalesced,2,1,0,int,253.87,2,64865
swi,1,coalesced,2,1,0,long,246.91,2,65348
swi,1,coalesced,2,214,0,long,210.97,1308,284819
swi,1,coalesced,2,215,0,long,220.5,1308,284788
