        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
      double    coalesced      128        1        2           16     67108864   523713776.464   2147483648  17179869184        0.004        0.033
      double    coalesced      128        1        2           32     67108864   523708706.367   4294967296  34359738368        0.008        0.066
      double    coalesced      128        1        2           64     67108864   523708714.296   8589934592  68719476736        0.016        0.131
      double    coalesced      128        1        2          128     67108864   523708756.674  17179869184 137438953472        0.033        0.262
      double    coalesced      128        1        2          256     33554432   261854652.831  17179869184 137438953472        0.066        0.525
      double    coalesced      128        1        2          512     16777216   131453681.225  17179869184 137438953472        0.131        1.046
      double    coalesced      128        1        2         1024      8388608    68082683.846  17179869184 137438953472        0.252        2.019
      double    coalesced      128        1        2         2048      4194304    35578539.462  17179869184 137438953472        0.483        3.863
      double    coalesced      128        1        2         4096      2097152    19198230.511  17179869184 137438953472        0.895        7.159
      double    coalesced      128        1        2         8192      1048576    10992315.708  17179869184 137438953472        1.563       12.503
      double    coalesced      128        1        2        16384       524288     6913713.103  17179869184 137438953472        2.485       19.879
      double    coalesced      128        1        2        32768       262144     4869760.142  17179869184 137438953472        3.528       28.223
      double    coalesced      128        1        2        65536       131072     3846541.712  17179869184 137438953472        4.466       35.731
      double    coalesced      128        1        2       131072        65536     3332546.199  17179869184 137438953472        5.155       41.241
      double    coalesced      128        1        2       262144        32768     3076192.516  17179869184 137438953472        5.585       44.678
      double    coalesced      128        1        2       524288        16384     2948287.287  17179869184 137438953472        5.827       46.617
      double    coalesced      128        1        2      1048576         8192     2884374.416  17179869184 137438953472        5.956       47.649
      double    coalesced      128        1        2      2097152         4096     2852121.932  17179869184 137438953472        6.024       48.188
      double    coalesced      128        1        2      4194304         2048     2836187.068  17179869184 137438953472        6.057       48.459
      double    coalesced      128        1        2      8388608         1024     2828226.615  17179869184 137438953472        6.074       48.595
      double    coalesced      128        1        2     16777216          512     2824175.725  17179869184 137438953472        6.083       48.665
      double    coalesced      128        1        2     33554432          256     2822229.886  17179869184 137438953472        6.087       48.699
      double    coalesced      128        1        2     67108864          128     2821166.240  17179869184 137438953472        6.090       48.717
      double    coalesced      128        1        2    134217728           64     2820693.391  17179869184 137438953472        6.091       48.725
      double    coalesced      128        1        2    268435456           32     2820398.121  17179869184 137438953472        6.091       48.730
      double    coalesced      128        1        2    536870912           16     2820334.066  17179869184 137438953472        6.091       48.731
      double    coalesced      128        1        2   1073741824            8     2820218.726  17179869184 137438953472        6.092       48.733
      double    coalesced      128        1        2   2147483648            4     2820259.735  17179869184 137438953472        6.092       48.733
      double    coalesced      128        1        2   4294967296            2     2820247.707  17179869184 137438953472        6.092       48.733
      double    coalesced      128        1        2   8588886016            1     2819931.992  17177772032 137422176256        6.092       48.732
