        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced      128        1        2            8     16777216    26186092.231    268435456   4294967296        0.010        0.164
       float    coalesced      128        1        2           16     16777216    26185929.538    536870912   8589934592        0.021        0.328
       float    coalesced      128        1        2           32     16777216    26185909.316   1073741824  17179869184        0.041        0.656
       float    coalesced      128        1        2           64     16777216    26857246.373   2147483648  34359738368        0.080        1.279
       float    coalesced      128        1        2          128     16777216    28640814.281   4294967296  68719476736        0.150        2.399
       float    coalesced      128        1        2          256     16777216    30806881.378   8589934592 137438953472        0.279        4.461
       float    coalesced      128        1        2          512     16777216    35707821.973  17179869184 274877906944        0.481        7.698
       float    coalesced      128        1        2         1024      8388608    20393698.773  17179869184 274877906944        0.842       13.479
       float    coalesced      128        1        2         2048      4194304    12729461.225  17179869184 274877906944        1.350       21.594
       float    coalesced      128        1        2         4096      2097152     8912660.654  17179869184 274877906944        1.928       30.841
       float    coalesced      128        1        2         8192      1048576     7016729.638  17179869184 274877906944        2.448       39.175
       float    coalesced      128        1        2        16384       524288     6137671.676  17179869184 274877906944        2.799       44.785
       float    coalesced      128        1        2        32768       262144     5640010.069  17179869184 274877906944        3.046       48.737
       float    coalesced      128        1        2        65536       131072     5455816.505  17179869184 274877906944        3.149       50.383
       float    coalesced      128        1        2       131072        65536     5285305.472  17179869184 274877906944        3.250       52.008
       float    coalesced      128        1        2       262144        32768     5242691.198  17179869184 274877906944        3.277       52.431
       float    coalesced      128        1        2       524288        16384     5199930.561  17179869184 274877906944        3.304       52.862
       float    coalesced      128        1        2      1048576         8192     5183817.327  17179869184 274877906944        3.314       53.026
       float    coalesced      128        1        2      2097152         4096     5178739.375  17179869184 274877906944        3.317       53.078
       float    coalesced      128        1        2      4194304         2048     5172302.094  17179869184 274877906944        3.322       53.144
       float    coalesced      128        1        2      8388608         1024     5170747.125  17179869184 274877906944        3.323       53.160
       float    coalesced      128        1        2     16777216          512     5169550.471  17179869184 274877906944        3.323       53.172
       float    coalesced      128        1        2     33554432          256     5169154.440  17179869184 274877906944        3.324       53.177
       float    coalesced      128        1        2     67108864          128     5168843.847  17179869184 274877906944        3.324       53.180
       float    coalesced      128        1        2    134217728           64     5168756.772  17179869184 274877906944        3.324       53.181
       float    coalesced      128        1        2    268435456           32     5168715.729  17179869184 274877906944        3.324       53.181
       float    coalesced      128        1        2    536870912           16     5168643.337  17179869184 274877906944        3.324       53.182
       float    coalesced      128        1        2   1073741824            8     5168724.130  17179869184 274877906944        3.324       53.181
       float    coalesced      128        1        2   2147483648            4     5168680.111  17179869184 274877906944        3.324       53.181
       float    coalesced      128        1        2   4294967296            2     5168609.175  17179869184 274877906944        3.324       53.182
       float    coalesced      128        1        2   8588886016            1     5035453.986  17177772032 274844352512        3.411       54.582
