Kernel Type, Buffers, Queue Type, Unroll, ERT FLOPs, Elements per Bank, Data Type, Frequency (MHz)
swi,1,coalesced,1024,1,0,signed_char,269
swi,1,coalesced,1,1010,0,int,287
swi,1,coalesced,1,1024,0,float,338
swi,1,coalesced,1,1024,0,signed_char,319
swi,1,coalesced,1,128,0,double,288
swi,1,coalesced,1,128,0,float,324
swi,1,coalesced,1,128,0,int,340
swi,1,coalesced,1,128,0,long,312
swi,1,coalesced,1,128,0,signed_char,329
swi,1,coalesced,1,16,0,double,291
swi,1,coalesced,1,16,0,float,342
swi,1,coalesced,1,16,0,int,324
swi,1,coalesced,1,16,0,long,313
swi,1,coalesced,1,16,0,signed_char,328
swi,1,coalesced,1,1,0,double,298
swi,1,coalesced,1,1,0,float,338
swi,1,coalesced,1,1,0,int,333
swi,1,coalesced,1,1,0,long,337
swi,1,coalesced,1,1,0,signed_char,340
swi,1,coalesced,1,2048,0,float,296
swi,1,coalesced,1,2048,0,signed_char,318
swi,1,coalesced,1,216,0,long,294
swi,1,coalesced,12,1,0,float,238
swi,1,coalesced,1,220,0,long,287
swi,1,coalesced,1,2304,0,signed_char,316
swi,1,coalesced,1,236,0,long,284
swi,1,coalesced,1,2560,0,signed_char,315
swi,1,coalesced,1,256,0,double,280
swi,1,coalesced,1,256,0,float,334
swi,1,coalesced,1,256,0,int,330
swi,1,coalesced,1,256,0,long,293
swi,1,coalesced,1,256,0,signed_char,337
swi,1,coalesced,128,16,0,float,250
swi,1,coalesced,1,2816,0,signed_char,304
swi,1,coalesced,128,16,0,signed_char,250
swi,1,coalesced,128,1,0,double,233
swi,1,coalesced,128,1,0,float,283
swi,1,coalesced,128,1,0,int,252
swi,1,coalesced,128,1,0,long,232
swi,1,coalesced,128,1,0,signed_char,328
swi,1,coalesced,128,21,0,float,234
swi,1,coalesced,128,2,0,long,257
swi,1,coalesced,128,2,0,signed_char,327
swi,1,coalesced,128,4,0,signed_char,326
swi,1,coalesced,128,7,0,int,221
swi,1,coalesced,128,8,0,signed_char,290
swi,1,coalesced,1,2944,0,signed_char,323
swi,1,coalesced,1,2,0,double,313
swi,1,coalesced,1,2,0,float,340
swi,1,coalesced,1,2,0,int,333
swi,1,coalesced,1,2,0,long,341
