        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced      256        2        1            8     16777216    37407962.590    268435456   8589934592        0.007        0.230
       float    coalesced      256        2        1           16     16777216    37407883.280    536870912  17179869184        0.014        0.459
       float    coalesced      256        2        1           32     16777216    37563870.151   1073741824  34359738368        0.029        0.915
       float    coalesced      256        2        1           64     16777216    38187271.486   2147483648  68719476736        0.056        1.800
       float    coalesced      256        2        1          128     16777216    39315302.969   4294967296 137438953472        0.109        3.496
       float    coalesced      256        2        1          256     16777216    40914851.160   8589934592 274877906944        0.210        6.718
       float    coalesced      256        2        1          512      8388608    21826422.626   8589934592 274877906944        0.394       12.594
       float    coalesced      256        2        1         1024      4194304    11783580.322   8589934592 274877906944        0.729       23.327
       float    coalesced      256        2        1         2048      2097152     6713861.477   8589934592 274877906944        1.279       40.942
       float    coalesced      256        2        1         4096      1048576     4138051.116   8589934592 274877906944        2.076       66.427
       float    coalesced      256        2        1         8192       524288     2962645.575   8589934592 274877906944        2.899       92.781
       float    coalesced      256        2        1        16384       262144     2330727.608   8589934592 274877906944        3.686      117.937
       float    coalesced      256        2        1        32768       131072     2045865.322   8589934592 274877906944        4.199      134.358
       float    coalesced      256        2        1        65536        65536     1875343.439   8589934592 274877906944        4.580      146.575
       float    coalesced      256        2        1       131072        32768     1790126.733   8589934592 274877906944        4.799      153.552
       float    coalesced      256        2        1       262144        16384     1762137.378   8589934592 274877906944        4.875      155.991
       float    coalesced      256        2        1       524288         8192     1742464.540   8589934592 274877906944        4.930      157.752
       float    coalesced      256        2        1      1048576         4096     1732731.537   8589934592 274877906944        4.957      158.638
       float    coalesced      256        2        1      2097152         2048     1727858.627   8589934592 274877906944        4.971      159.086
       float    coalesced      256        2        1      4194304         1024     1725622.149   8589934592 274877906944        4.978      159.292
       float    coalesced      256        2        1      8388608          512     1724314.257   8589934592 274877906944        4.982      159.413
       float    coalesced      256        2        1     16777216          256     1723778.792   8589934592 274877906944        4.983      159.462
       float    coalesced      256        2        1     33554432          128     1723403.201   8589934592 274877906944        4.984      159.497
       float    coalesced      256        2        1     67108864           64     1723307.730   8589934592 274877906944        4.985      159.506
       float    coalesced      256        2        1    134217728           32     1723251.303   8589934592 274877906944        4.985      159.511
       float    coalesced      256        2        1    268435456           16     1723177.250   8589934592 274877906944        4.985      159.518
       float    coalesced      256        2        1    536870912            8     1723141.809   8589934592 274877906944        4.985      159.521
       float    coalesced      256        2        1   1073741824            4     1723129.707   8589934592 274877906944        4.985      159.522
       float    coalesced      256        2        1   2147483648            2     1723156.837   8589934592 274877906944        4.985      159.520
       float    coalesced      256        2        1   4293918720            1     1722764.120   8587837440 274810798080        4.985      159.517
