        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
        long    coalesced      110        1        2           16     16777216    22950336.399    536870912   3690987520        0.023        0.161
        long    coalesced      110        1        2           32     16777216    23307450.927   1073741824   7381975040        0.046        0.317
        long    coalesced      110        1        2           64     16777216    23805366.148   2147483648  14763950080        0.090        0.620
        long    coalesced      110        1        2          128     16777216    24549271.180   4294967296  29527900160        0.175        1.203
        long    coalesced      110        1        2          256     16777216    26185899.496   8589934592  59055800320        0.328        2.255
        long    coalesced      110        1        2          512     16777216    28056269.275  17179869184 118111600640        0.612        4.210
        long    coalesced      110        1        2         1024      8388608    15587064.940  17179869184 118111600640        1.102        7.578
        long    coalesced      110        1        2         2048      4194304     8812852.735  17179869184 118111600640        1.949       13.402
        long    coalesced      110        1        2         4096      2097152     5455750.021  17179869184 118111600640        3.149       21.649
        long    coalesced      110        1        2         8192      1048576     3770038.971  17179869184 118111600640        4.557       31.329
        long    coalesced      110        1        2        16384       524288     2922974.486  17179869184 118111600640        5.878       40.408
        long    coalesced      110        1        2        32768       262144     2532952.636  17179869184 118111600640        6.783       46.630
        long    coalesced      110        1        2        65536       131072     2322643.294  17179869184 118111600640        7.397       50.852
        long    coalesced      110        1        2       131072        65536     2216673.287  17179869184 118111600640        7.750       53.283
        long    coalesced      110        1        2       262144        32768     2165006.394  17179869184 118111600640        7.935       54.555
        long    coalesced      110        1        2       524288        16384     2138146.389  17179869184 118111600640        8.035       55.240
        long    coalesced      110        1        2      1048576         8192     2125393.463  17179869184 118111600640        8.083       55.572
        long    coalesced      110        1        2      2097152         4096     2118712.946  17179869184 118111600640        8.109       55.747
        long    coalesced      110        1        2      4194304         2048     2115376.094  17179869184 118111600640        8.121       55.835
        long    coalesced      110        1        2      8388608         1024     2113819.424  17179869184 118111600640        8.127       55.876
        long    coalesced      110        1        2     16777216          512     2112992.795  17179869184 118111600640        8.131       55.898
        long    coalesced      110        1        2     33554432          256     2112623.474  17179869184 118111600640        8.132       55.908
        long    coalesced      110        1        2     67108864          128     2112375.041  17179869184 118111600640        8.133       55.914
        long    coalesced      110        1        2    134217728           64     2112286.281  17179869184 118111600640        8.133       55.916
        long    coalesced      110        1        2    268435456           32     2112209.495  17179869184 118111600640        8.134       55.919
        long    coalesced      110        1        2    536870912           16     2112238.815  17179869184 118111600640        8.133       55.918
        long    coalesced      110        1        2   1073741824            8     2112174.266  17179869184 118111600640        8.134       55.919
        long    coalesced      110        1        2   2147483648            4     2112130.327  17179869184 118111600640        8.134       55.921
        long    coalesced      110        1        2   4294967296            2     2112137.199  17179869184 118111600640        8.134       55.920
        long    coalesced      110        1        2   8588886016            1     2111955.033  17177772032 118097182720        8.134       55.918
