        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
      double    coalesced      128        1        2           16     16777216   114576089.440    536870912   4294967296        0.005        0.037
      double    coalesced      128        1        2           32     16777216   114895801.644   1073741824   8589934592        0.009        0.075
      double    coalesced      128        1        2           64     16777216   115524512.265   2147483648  17179869184        0.019        0.149
      double    coalesced      128        1        2          128     16777216   116380207.708   4294967296  34359738368        0.037        0.295
      double    coalesced      128        1        2          256     16777216   117834931.295   8589934592  68719476736        0.073        0.583
      double    coalesced      128        1        2          512     16777216   120017095.457  17179869184 137438953472        0.143        1.145
      double    coalesced      128        1        2         1024      8388608    61827218.704  17179869184 137438953472        0.278        2.223
      double    coalesced      128        1        2         2048      4194304    32732245.756  17179869184 137438953472        0.525        4.199
      double    coalesced      128        1        2         4096      2097152    17077942.474  17179869184 137438953472        1.006        8.048
      double    coalesced      128        1        2         8192      1048576     9644654.696  17179869184 137438953472        1.781       14.250
      double    coalesced      128        1        2        16384       524288     5933083.856  17179869184 137438953472        2.896       23.165
      double    coalesced      128        1        2        32768       262144     4091921.939  17179869184 137438953472        4.198       33.588
      double    coalesced      128        1        2        65536       131072     3117987.073  17179869184 137438953472        5.510       44.079
      double    coalesced      128        1        2       131072        65536     2652399.363  17179869184 137438953472        6.477       51.817
      double    coalesced      128        1        2       262144        32768     2418151.249  17179869184 137438953472        7.105       56.836
      double    coalesced      128        1        2       524288        16384     2301835.832  17179869184 137438953472        7.464       59.708
      double    coalesced      128        1        2      1048576         8192     2241329.997  17179869184 137438953472        7.665       61.320
      double    coalesced      128        1        2      2097152         4096     2212041.333  17179869184 137438953472        7.767       62.132
      double    coalesced      128        1        2      4194304         2048     2197378.547  17179869184 137438953472        7.818       62.547
      double    coalesced      128        1        2      8388608         1024     2190017.335  17179869184 137438953472        7.845       62.757
      double    coalesced      128        1        2     16777216          512     2186294.228  17179869184 137438953472        7.858       62.864
      double    coalesced      128        1        2     33554432          256     2184418.492  17179869184 137438953472        7.865       62.918
      double    coalesced      128        1        2     67108864          128     2187969.321  17179869184 137438953472        7.852       62.816
      double    coalesced      128        1        2    134217728           64     2183009.364  17179869184 137438953472        7.870       62.958
      double    coalesced      128        1        2    268435456           32     2182781.350  17179869184 137438953472        7.871       62.965
      double    coalesced      128        1        2    536870912           16     2182648.051  17179869184 137438953472        7.871       62.969
      double    coalesced      128        1        2   1073741824            8     2182581.043  17179869184 137438953472        7.871       62.971
      double    coalesced      128        1        2   2147483648            4     2182573.210  17179869184 137438953472        7.871       62.971
      double    coalesced      128        1        2   4294967296            2     2182532.043  17179869184 137438953472        7.872       62.972
      double    coalesced      128        1        2   8588886016            1     2182340.861  17177772032 137422176256        7.871       62.970
