        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
 signed_char    coalesced      128        1        2            2     16777216    15403363.502     67108864   4294967296        0.004        0.279
 signed_char    coalesced      128        1        2            4     16777216    15403349.587    134217728   8589934592        0.009        0.558
 signed_char    coalesced      128        1        2            8     16777216    16366025.496    268435456  17179869184        0.016        1.050
 signed_char    coalesced      128        1        2           16     16777216    16366051.296    536870912  34359738368        0.033        2.099
 signed_char    coalesced      128        1        2           32     16777216    17457617.924   1073741824  68719476736        0.062        3.936
 signed_char    coalesced      128        1        2           64     16777216    20142761.612   2147483648 137438953472        0.107        6.823
 signed_char    coalesced      128        1        2          128     16777216    24548985.301   4294967296 274877906944        0.175       11.197
 signed_char    coalesced      128        1        2          256     16777216    28462588.982   8589934592 549755813888        0.302       19.315
 signed_char    coalesced      128        1        2          512     16777216    34914030.101  17179869184 1099511627776        0.492       31.492
 signed_char    coalesced      128        1        2         1024      8388608    24445812.514  17179869184 1099511627776        0.703       44.978
 signed_char    coalesced      128        1        2         2048      4194304    18704051.153  17179869184 1099511627776        0.919       58.785
 signed_char    coalesced      128        1        2         4096      2097152    16289101.271  17179869184 1099511627776        1.055       67.500
 signed_char    coalesced      128        1        2         8192      1048576    14877925.481  17179869184 1099511627776        1.155       73.902
 signed_char    coalesced      128        1        2        16384       524288    14173941.089  17179869184 1099511627776        1.212       77.573
 signed_char    coalesced      128        1        2        32768       262144    13819835.811  17179869184 1099511627776        1.243       79.560
 signed_char    coalesced      128        1        2        65536       131072    13646104.269  17179869184 1099511627776        1.259       80.573
 signed_char    coalesced      128        1        2       131072        65536    13558042.724  17179869184 1099511627776        1.267       81.097
 signed_char    coalesced      128        1        2       262144        32768    13514954.781  17179869184 1099511627776        1.271       81.355
 signed_char    coalesced      128        1        2       524288        16384    13492957.148  17179869184 1099511627776        1.273       81.488
 signed_char    coalesced      128        1        2      1048576         8192    13482020.285  17179869184 1099511627776        1.274       81.554
 signed_char    coalesced      128        1        2      2097152         4096    13476535.500  17179869184 1099511627776        1.275       81.587
 signed_char    coalesced      128        1        2      4194304         2048    13473675.753  17179869184 1099511627776        1.275       81.604
 signed_char    coalesced      128        1        2      8388608         1024    13472443.286  17179869184 1099511627776        1.275       81.612
 signed_char    coalesced      128        1        2     16777216          512    13471916.038  17179869184 1099511627776        1.275       81.615
 signed_char    coalesced      128        1        2     33554432          256    13471470.875  17179869184 1099511627776        1.275       81.618
 signed_char    coalesced      128        1        2     67108864          128    13471260.723  17179869184 1099511627776        1.275       81.619
 signed_char    coalesced      128        1        2    134217728           64    13471243.783  17179869184 1099511627776        1.275       81.619
 signed_char    coalesced      128        1        2    268435456           32    13471338.234  17179869184 1099511627776        1.275       81.619
 signed_char    coalesced      128        1        2    536870912           16    13470963.542  17179869184 1099511627776        1.275       81.621
 signed_char    coalesced      128        1        2   1073741824            8    13471072.043  17179869184 1099511627776        1.275       81.620
 signed_char    coalesced      128        1        2   2147483648            4    13471169.007  17179869184 1099511627776        1.275       81.620
 signed_char    coalesced      128        1        2   4294967296            2    13471130.528  17179869184 1099511627776        1.275       81.620
 signed_char    coalesced      128        1        2   8588886016            1    13469422.258  17177772032 1099377410048        1.275       81.620
