        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
         int    coalesced      125        4        2           32     16777216    21821647.008   1073741824  16777216000        0.049        0.769
         int    coalesced      125        4        2           64     16777216    21821625.338   2147483648  33554432000        0.098        1.538
         int    coalesced      125        4        2          128     16777216    21821660.850   4294967296  67108864000        0.197        3.075
         int    coalesced      125        4        2          256     16777216    21952594.809   8589934592 134217728000        0.391        6.114
         int    coalesced      125        4        2          512     16777216    23805382.661  17179869184 268435456000        0.722       11.276
         int    coalesced      125        4        2         1024      8388608    13093167.865  17179869184 268435456000        1.312       20.502
         int    coalesced      125        4        2         2048      4194304     7274192.855  17179869184 268435456000        2.362       36.902
         int    coalesced      125        4        2         4096      2097152     4091916.603  17179869184 268435456000        4.198       65.601
         int    coalesced      125        4        2         8192      1048576     2628423.246  17179869184 268435456000        6.536      102.128
         int    coalesced      125        4        2        16384       524288     1777170.001  17179869184 268435456000        9.667      151.047
         int    coalesced      125        4        2        32768       262144     1396452.396  17179869184 268435456000       12.303      192.227
         int    coalesced      125        4        2        65536       131072     1209010.504  17179869184 268435456000       14.210      222.029
         int    coalesced      125        4        2       131072        65536     1114857.687  17179869184 268435456000       15.410      240.780
         int    coalesced      125        4        2       262144        32768     1068119.981  17179869184 268435456000       16.084      251.316
         int    coalesced      125        4        2       524288        16384     1045485.070  17179869184 268435456000       16.432      256.757
         int    coalesced      125        4        2      1048576         8192     1034259.973  17179869184 268435456000       16.611      259.544
         int    coalesced      125        4        2      2097152         4096     1028593.835  17179869184 268435456000       16.702      260.973
         int    coalesced      125        4        2      4194304         2048     1025732.552  17179869184 268435456000       16.749      261.701
         int    coalesced      125        4        2      8388608         1024     1024261.969  17179869184 268435456000       16.773      262.077
         int    coalesced      125        4        2     16777216          512     1023561.816  17179869184 268435456000       16.784      262.256
         int    coalesced      125        4        2     33554432          256     1023304.250  17179869184 268435456000       16.789      262.322
         int    coalesced      125        4        2     67108864          128     1023321.300  17179869184 268435456000       16.788      262.318
         int    coalesced      125        4        2    134217728           64     1023273.893  17179869184 268435456000       16.789      262.330
         int    coalesced      125        4        2    268435456           32     1023229.530  17179869184 268435456000       16.790      262.341
         int    coalesced      125        4        2    536870912           16     1023250.883  17179869184 268435456000       16.789      262.336
         int    coalesced      125        4        2   1073741824            8     1023252.771  17179869184 268435456000       16.789      262.335
         int    coalesced      125        4        2   2147483648            4     1023242.505  17179869184 268435456000       16.790      262.338
         int    coalesced      125        4        2   4294967296            2     1023308.779  17179869184 268435456000       16.789      262.321
         int    coalesced      125        4        2   8588886016            1     1023171.975  17177772032 268402688000       16.789      262.324
