        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
       float    coalesced      256        1        1            4     16777216    37724956.389    134217728   4294967296        0.004        0.114
       float    coalesced      256        1        1            8     16777216    37858823.878    268435456   8589934592        0.007        0.227
       float    coalesced      256        1        1           16     16777216    38187213.601    536870912  17179869184        0.014        0.450
       float    coalesced      256        1        1           32     16777216    39278277.666   1073741824  34359738368        0.027        0.875
       float    coalesced      256        1        1           64     16777216    40285419.951   2147483648  68719476736        0.053        1.706
       float    coalesced      256        1        1          128     16777216    41987984.829   4294967296 137438953472        0.102        3.273
       float    coalesced      256        1        1          256     16777216    44382215.294   8589934592 274877906944        0.194        6.193
       float    coalesced      256        1        1          512      8388608    23805083.529   8589934592 274877906944        0.361       11.547
       float    coalesced      256        1        1         1024      4194304    13638383.170   8589934592 274877906944        0.630       20.155
       float    coalesced      256        1        1         2048      2097152     8392938.976   8589934592 274877906944        1.023       32.751
       float    coalesced      256        1        1         4096      1048576     5891873.370   8589934592 274877906944        1.458       46.654
       float    coalesced      256        1        1         8192       524288     4593065.217   8589934592 274877906944        1.870       59.846
       float    coalesced      256        1        1        16384       262144     3971282.625   8589934592 274877906944        2.163       69.216
       float    coalesced      256        1        1        32768       131072     3665424.650   8589934592 274877906944        2.344       74.992
       float    coalesced      256        1        1        65536        65536     3477943.155   8589934592 274877906944        2.470       79.035
       float    coalesced      256        1        1       131072        32768     3375603.277   8589934592 274877906944        2.545       81.431
       float    coalesced      256        1        1       262144        16384     3324455.600   8589934592 274877906944        2.584       82.684
       float    coalesced      256        1        1       524288         8192     3298893.999   8589934592 274877906944        2.604       83.324
       float    coalesced      256        1        1      1048576         4096     3286108.800   8589934592 274877906944        2.614       83.648
       float    coalesced      256        1        1      2097152         2048     3279698.553   8589934592 274877906944        2.619       83.812
       float    coalesced      256        1        1      4194304         1024     3276543.958   8589934592 274877906944        2.622       83.893
       float    coalesced      256        1        1      8388608          512     3274931.105   8589934592 274877906944        2.623       83.934
       float    coalesced      256        1        1     16777216          256     3274131.113   8589934592 274877906944        2.624       83.954
       float    coalesced      256        1        1     33554432          128     3273714.831   8589934592 274877906944        2.624       83.965
       float    coalesced      256        1        1     67108864           64     3273551.946   8589934592 274877906944        2.624       83.969
       float    coalesced      256        1        1    134217728           32     3273398.044   8589934592 274877906944        2.624       83.973
       float    coalesced      256        1        1    268435456           16     3273376.802   8589934592 274877906944        2.624       83.974
       float    coalesced      256        1        1    536870912            8     3273361.529   8589934592 274877906944        2.624       83.974
       float    coalesced      256        1        1   1073741824            4     3273289.280   8589934592 274877906944        2.624       83.976
       float    coalesced      256        1        1   2147483648            2     3273328.538   8589934592 274877906944        2.624       83.975
       float    coalesced      256        1        1   4293918720            1     3272471.906   8587837440 274810798080        2.624       83.977
