        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
      double    coalesced      315        1        1            8     16777216   288323224.896    268435456   5284823040        0.001        0.018
      double    coalesced      315        1        1           16     16777216   288574479.812    536870912  10569646080        0.002        0.037
      double    coalesced      315        1        1           32     16777216   289131106.887   1073741824  21139292160        0.004        0.073
      double    coalesced      315        1        1           64     16777216   289910644.319   2147483648  42278584320        0.007        0.146
      double    coalesced      315        1        1          128     16777216   291610981.871   4294967296  84557168640        0.015        0.290
      double    coalesced      315        1        1          256     16777216   294586558.300   8589934592 169114337280        0.029        0.574
      double    coalesced      315        1        1          512      8388608   148781277.017   8589934592 169114337280        0.058        1.137
      double    coalesced      315        1        1         1024      4194304    75535354.533   8589934592 169114337280        0.114        2.239
      double    coalesced      315        1        1         2048      2097152    38900556.522   8589934592 169114337280        0.221        4.347
      double    coalesced      315        1        1         4096      1048576    20552918.257   8589934592 169114337280        0.418        8.228
      double    coalesced      315        1        1         8192       524288    11456507.253   8589934592 169114337280        0.750       14.761
      double    coalesced      315        1        1        16384       262144     6819428.747   8589934592 169114337280        1.260       24.799
      double    coalesced      315        1        1        32768       131072     4534147.700   8589934592 169114337280        1.894       37.298
      double    coalesced      315        1        1        65536        65536     3385617.116   8589934592 169114337280        2.537       49.951
      double    coalesced      315        1        1       131072        32768     2806382.512   8589934592 169114337280        3.061       60.261
      double    coalesced      315        1        1       262144        16384     2519514.189   8589934592 169114337280        3.409       67.122
      double    coalesced      315        1        1       524288         8192     2376056.746   8589934592 169114337280        3.615       71.174
      double    coalesced      315        1        1      1048576         4096     2303972.790   8589934592 169114337280        3.728       73.401
      double    coalesced      315        1        1      2097152         2048     2268055.423   8589934592 169114337280        3.787       74.564
      double    coalesced      315        1        1      4194304         1024     2249975.701   8589934592 169114337280        3.818       75.163
      double    coalesced      315        1        1      8388608          512     2241025.109   8589934592 169114337280        3.833       75.463
      double    coalesced      315        1        1     16777216          256     2236583.740   8589934592 169114337280        3.841       75.613
      double    coalesced      315        1        1     33554432          128     2234343.950   8589934592 169114337280        3.844       75.689
      double    coalesced      315        1        1     67108864           64     2233164.710   8589934592 169114337280        3.847       75.729
      double    coalesced      315        1        1    134217728           32     2232659.224   8589934592 169114337280        3.847       75.746
      double    coalesced      315        1        1    268435456           16     2232363.352   8589934592 169114337280        3.848       75.756
      double    coalesced      315        1        1    536870912            8     2232197.167   8589934592 169114337280        3.848       75.761
      double    coalesced      315        1        1   1073741824            4     2232161.186   8589934592 169114337280        3.848       75.763
      double    coalesced      315        1        1   2147483648            2     2232122.390   8589934592 169114337280        3.848       75.764
      double    coalesced      315        1        1   4293918720            1     2231567.143   8587837440 169073049600        3.848       75.764
