        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
        long    coalesced      108        1        2           16     16777216    22076249.328    536870912   3623878656        0.024        0.164
        long    coalesced      108        1        2           32     16777216    22306834.540   1073741824   7247757312        0.048        0.325
        long    coalesced      108        1        2           64     16777216    22770426.889   2147483648  14495514624        0.094        0.637
        long    coalesced      108        1        2          128     16777216    23805441.935   4294967296  28991029248        0.180        1.218
        long    coalesced      108        1        2          256     16777216    24969486.749   8589934592  57982058496        0.344        2.322
        long    coalesced      108        1        2          512     16777216    26956045.806  17179869184 115964116992        0.637        4.302
        long    coalesced      108        1        2         1024      8388608    15107469.010  17179869184 115964116992        1.137        7.676
        long    coalesced      108        1        2         2048      4194304     8539215.023  17179869184 115964116992        2.012       13.580
        long    coalesced      108        1        2         4096      2097152     5455775.389  17179869184 115964116992        3.149       21.255
        long    coalesced      108        1        2         8192      1048576     3650945.528  17179869184 115964116992        4.706       31.763
        long    coalesced      108        1        2        16384       524288     2864483.321  17179869184 115964116992        5.998       40.483
        long    coalesced      108        1        2        32768       262144     2455305.910  17179869184 115964116992        6.997       47.230
        long    coalesced      108        1        2        65536       131072     2258661.835  17179869184 115964116992        7.606       51.342
        long    coalesced      108        1        2       131072        65536     2156750.371  17179869184 115964116992        7.966       53.768
        long    coalesced      108        1        2       262144        32768     2104895.609  17179869184 115964116992        8.162       55.093
        long    coalesced      108        1        2       524288        16384     2078871.017  17179869184 115964116992        8.264       55.782
        long    coalesced      108        1        2      1048576         8192     2066055.268  17179869184 115964116992        8.315       56.128
        long    coalesced      108        1        2      2097152         4096     2059235.777  17179869184 115964116992        8.343       56.314
        long    coalesced      108        1        2      4194304         2048     2055971.584  17179869184 115964116992        8.356       56.404
        long    coalesced      108        1        2      8388608         1024     2054283.404  17179869184 115964116992        8.363       56.450
        long    coalesced      108        1        2     16777216          512     2053630.401  17179869184 115964116992        8.366       56.468
        long    coalesced      108        1        2     33554432          256     2053171.497  17179869184 115964116992        8.367       56.480
        long    coalesced      108        1        2     67108864          128     2052961.078  17179869184 115964116992        8.368       56.486
        long    coalesced      108        1        2    134217728           64     2052878.089  17179869184 115964116992        8.369       56.489
        long    coalesced      108        1        2    268435456           32     2052783.947  17179869184 115964116992        8.369       56.491
        long    coalesced      108        1        2    536870912           16     2052772.888  17179869184 115964116992        8.369       56.491
        long    coalesced      108        1        2   1073741824            8     2052757.197  17179869184 115964116992        8.369       56.492
        long    coalesced      108        1        2   2147483648            4     2052736.436  17179869184 115964116992        8.369       56.492
        long    coalesced      108        1        2   4294967296            2     2052794.965  17179869184 115964116992        8.369       56.491
        long    coalesced      108        1        2   8588886016            1     2052469.732  17177772032 115949961216        8.369       56.493
