        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
         int    coalesced      128        1        2            8     16777216    20673204.350    268435456   4294967296        0.013        0.208
         int    coalesced      128        1        2           16     16777216    20673088.705    536870912   8589934592        0.026        0.416
         int    coalesced      128        1        2           32     16777216    21230668.220   1073741824  17179869184        0.051        0.809
         int    coalesced      128        1        2           64     16777216    21821627.006   2147483648  34359738368        0.098        1.575
         int    coalesced      128        1        2          128     16777216    23105220.663   4294967296  68719476736        0.186        2.974
         int    coalesced      128        1        2          256     16777216    24549257.274   8589934592 137438953472        0.350        5.598
         int    coalesced      128        1        2          512     16777216    28056264.193  17179869184 274877906944        0.612        9.797
         int    coalesced      128        1        2         1024      8388608    16366362.500  17179869184 274877906944        1.050       16.795
         int    coalesced      128        1        2         2048      4194304     9819952.668  17179869184 274877906944        1.749       27.992
         int    coalesced      128        1        2         4096      2097152     6848485.902  17179869184 274877906944        2.509       40.137
         int    coalesced      128        1        2         8192      1048576     5306861.459  17179869184 274877906944        3.237       51.797
         int    coalesced      128        1        2        16384       524288     4546486.444  17179869184 274877906944        3.779       60.459
         int    coalesced      128        1        2        32768       262144     4091869.753  17179869184 274877906944        4.199       67.177
         int    coalesced      128        1        2        65536       131072     3962583.652  17179869184 274877906944        4.336       69.368
         int    coalesced      128        1        2       131072        65536     3866219.812  17179869184 274877906944        4.444       71.097
         int    coalesced      128        1        2       262144        32768     3818133.950  17179869184 274877906944        4.500       71.993
         int    coalesced      128        1        2       524288        16384     3793914.874  17179869184 274877906944        4.528       72.452
         int    coalesced      128        1        2      1048576         8192     3781881.171  17179869184 274877906944        4.543       72.683
         int    coalesced      128        1        2      2097152         4096     3775985.088  17179869184 274877906944        4.550       72.796
         int    coalesced      128        1        2      4194304         2048     3772879.767  17179869184 274877906944        4.554       72.856
         int    coalesced      128        1        2      8388608         1024     3771348.402  17179869184 274877906944        4.555       72.886
         int    coalesced      128        1        2     16777216          512     3770634.858  17179869184 274877906944        4.556       72.900
         int    coalesced      128        1        2     33554432          256     3770291.499  17179869184 274877906944        4.557       72.906
         int    coalesced      128        1        2     67108864          128     3770080.747  17179869184 274877906944        4.557       72.910
         int    coalesced      128        1        2    134217728           64     3770008.912  17179869184 274877906944        4.557       72.912
         int    coalesced      128        1        2    268435456           32     3769924.034  17179869184 274877906944        4.557       72.913
         int    coalesced      128        1        2    536870912           16     3769918.822  17179869184 274877906944        4.557       72.913
         int    coalesced      128        1        2   1073741824            8     3769800.733  17179869184 274877906944        4.557       72.916
         int    coalesced      128        1        2   2147483648            4     3769907.602  17179869184 274877906944        4.557       72.914
         int    coalesced      128        1        2   4294967296            2     3769885.089  17179869184 274877906944        4.557       72.914
         int    coalesced      128        1        2   8588886016            1     3769409.196  17177772032 274844352512        4.557       72.914
