        type trial_config ert_flop   unroll  buffers        nsize       trials       microsecs        bytes        flops         GB/s         GF/s
 signed_char    coalesced       32        8        2           16     16777216     9352130.168    536870912   8589934592        0.057        0.919
 signed_char    coalesced       32        8        2           32     16777216     9352132.700   1073741824  17179869184        0.115        1.837
 signed_char    coalesced       32        8        2           64     16777216     9352109.219   2147483648  34359738368        0.230        3.674
 signed_char    coalesced       32        8        2          128     16777216    10071503.870   4294967296  68719476736        0.426        6.823
 signed_char    coalesced       32        8        2          256     16777216    11902640.324   8589934592 137438953472        0.722       11.547
 signed_char    coalesced       32        8        2          512     16777216    13092898.552  17179869184 274877906944        1.312       20.994
 signed_char    coalesced       32        8        2         1024      8388608     8183143.448  17179869184 274877906944        2.099       33.591
 signed_char    coalesced       32        8        2         2048      4194304     4995795.726  17179869184 274877906944        3.439       55.022
 signed_char    coalesced       32        8        2         4096      2097152     3507156.968  17179869184 274877906944        4.899       78.376
 signed_char    coalesced       32        8        2         8192      1048576     2727815.809  17179869184 274877906944        6.298      100.768
 signed_char    coalesced       32        8        2        16384       524288     2349036.489  17179869184 274877906944        7.314      117.017
 signed_char    coalesced       32        8        2        32768       262144     2154289.018  17179869184 274877906944        7.975      127.596
 signed_char    coalesced       32        8        2        65536       131072     2045862.327  17179869184 274877906944        8.397      134.358
 signed_char    coalesced       32        8        2       131072        65536     2030277.703  17179869184 274877906944        8.462      135.389
 signed_char    coalesced       32        8        2       262144        32768     2006602.860  17179869184 274877906944        8.562      136.987
 signed_char    coalesced       32        8        2       524288        16384     1995270.745  17179869184 274877906944        8.610      137.765
 signed_char    coalesced       32        8        2      1048576         8192     1989765.443  17179869184 274877906944        8.634      138.146
 signed_char    coalesced       32        8        2      2097152         4096     1986951.042  17179869184 274877906944        8.646      138.342
 signed_char    coalesced       32        8        2      4194304         2048     1985589.622  17179869184 274877906944        8.652      138.436
 signed_char    coalesced       32        8        2      8388608         1024     1984950.988  17179869184 274877906944        8.655      138.481
 signed_char    coalesced       32        8        2     16777216          512     1984618.448  17179869184 274877906944        8.657      138.504
 signed_char    coalesced       32        8        2     33554432          256     1984446.407  17179869184 274877906944        8.657      138.516
 signed_char    coalesced       32        8        2     67108864          128     1984385.246  17179869184 274877906944        8.658      138.520
 signed_char    coalesced       32        8        2    134217728           64     1984303.281  17179869184 274877906944        8.658      138.526
 signed_char    coalesced       32        8        2    268435456           32     1984373.556  17179869184 274877906944        8.658      138.521
 signed_char    coalesced       32        8        2    536870912           16     1984256.499  17179869184 274877906944        8.658      138.529
 signed_char    coalesced       32        8        2   1073741824            8     1984270.930  17179869184 274877906944        8.658      138.528
 signed_char    coalesced       32        8        2   2147483648            4     1984248.370  17179869184 274877906944        8.658      138.530
 signed_char    coalesced       32        8        2   4294967296            2     1984247.765  17179869184 274877906944        8.658      138.530
 signed_char    coalesced       32        8        2   8588886016            1     1984018.125  17177772032 274844352512        8.658      138.529
